,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
21,1.3,1.7000000000000002,0.5,0.766,1.5177051453169788,0.024097478708273872,0.024097478708273872,0.0032859278081336374,0.0032859278081336374,0.031743478166134986,0.0005061208497910125,0.0005061208497910125,7.00994672302932e-05,7.00994672302932e-05,0.020915444784569952,0.0003779129163637299,0.0003779129163637299,0.00018569985564574967,0.00018569985564574967,0.9,kaonID
22,1.3,1.7000000000000002,0.766,0.8829,0.944885733927562,0.027647121092090686,0.027647121092090686,0.0007689352556976559,0.0007689352556976559,0.03005029467293337,0.000630172996583108,0.000630172996583108,8.51550218534565e-05,8.51550218534565e-05,0.03180309914091382,0.0005729828016325123,0.0005729828016325123,9.190330975512861e-05,9.190330975512861e-05,0.9,kaonID
23,1.3,1.7000000000000002,0.8829,0.9563,0.5716638501524847,0.03287083838002473,0.03287083838002473,0.0008968552650128192,0.0008968552650128192,0.032390475227547844,0.000905412935638855,0.000905412935638855,4.972052093903112e-05,4.972052093903112e-05,0.056660002585274656,0.0009799369749948989,0.0009799369749948989,0.00011448250127133602,0.00011448250127133602,0.9,kaonID
24,1.7000000000000002,2.1,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
25,1.7000000000000002,2.1,-0.682,-0.4226,6.2322469323942755,0.06523354740891628,0.06523354740891628,0.201484805079839,0.201484805079839,0.045043328436976796,0.0010341070713339937,0.0010341070713339937,0.0002044585262443582,0.0002044585262443582,0.007227462089611437,0.0004413100165589037,0.0004413100165589037,0.00021460262301842802,0.00021460262301842802,0.9,kaonID
26,1.7000000000000002,2.1,-0.4226,-0.1045,1.6661825122018192,0.0717143408455098,0.0717143408455098,0.04121250315324221,0.04121250315324221,0.012885368840072535,0.0005705876541157632,0.0005705876541157632,0.0003969053942263004,0.0003969053942263004,0.007733467819827755,0.000436243447036869,0.000436243447036869,0.0004323162533055244,0.0004323162533055244,0.9,kaonID
27,1.7000000000000002,2.1,-0.1045,0.225,1.3844115918972106,0.056763579595408946,0.056763579595408946,0.0050776729636166085,0.0050776729636166085,0.013297035111844106,0.0005030495496339988,0.0005030495496339988,0.00030259287643677295,0.00030259287643677295,0.009604827920879891,0.00040646309012653956,0.00040646309012653956,0.00046629696840789873,0.00046629696840789873,0.9,kaonID
28,1.7000000000000002,2.1,0.225,0.5,1.3825469724773978,0.03992391641713189,0.03992391641713189,0.0031524022484086256,0.0031524022484086256,0.022621747957574632,0.0006077152059522612,0.0006077152059522612,0.00022303905488750206,0.00022303905488750206,0.016362372062511937,0.0004832398141119389,0.0004832398141119389,0.000730425698952035,0.000730425698952035,0.9,kaonID
29,1.7000000000000002,2.1,0.5,0.766,1.495068928797204,0.028071068793628334,0.028071068793628334,0.004165492979001151,0.004165492979001151,0.035416406131583256,0.0006529512604179136,0.0006529512604179136,0.00018570951190924334,0.00018570951190924334,0.02368881156541462,0.0005014445362480571,0.0005014445362480571,0.0006510064004581415,0.0006510064004581415,0.9,kaonID
30,1.7000000000000002,2.1,0.766,0.8829,1.5807677889928577,0.045553964387154894,0.045553964387154894,0.004236516039556104,0.004236516039556104,0.024461768356535737,0.0007225854662237805,0.0007225854662237805,0.00018654646593722554,0.00018654646593722554,0.015474612101073284,0.0005366341826304346,0.0005366341826304346,0.0006638192259394281,0.0006638192259394281,0.9,kaonID
31,1.7000000000000002,2.1,0.8829,0.9563,1.7414512490421499,0.09050742741525208,0.09050742741525208,0.014922757407796583,0.014922757407796583,0.013276635919830835,0.0007763331013944041,0.0007763331013944041,6.889399316987663e-05,6.889399316987663e-05,0.007623891812724232,0.0005266795567274553,0.0005266795567274553,0.0004214348236230448,0.0004214348236230448,0.9,kaonID
32,2.1,2.5,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
33,2.1,2.5,-0.682,-0.4226,4.557115628702284,0.04802891195391068,0.04802891195391068,0.11989895497956748,0.11989895497956748,0.0864557558546225,0.0017093061622503864,0.0017093061622503864,0.0003531399089266585,0.0003531399089266585,0.018971595829189496,0.0008304031949044175,0.0008304031949044175,0.0007652979773718795,0.0007652979773718795,0.9,kaonID
34,2.1,2.5,-0.4226,-0.1045,1.6132492631402906,0.07776314789905416,0.07776314789905416,0.04487145309817042,0.04487145309817042,0.018702713236871983,0.0009045984556063844,0.0009045984556063844,0.0014349433953293363,0.0014349433953293363,0.011593194966328999,0.0007059216377641635,0.0007059216377641635,0.0003053960072971623,0.0003053960072971623,0.9,kaonID
35,2.1,2.5,-0.1045,0.225,1.5138145201250959,0.0685776803055209,0.0685776803055209,0.034697679317089,0.034697679317089,0.01568287293350331,0.0006889741531441525,0.0006889741531441525,0.0006685469017005743,0.0006685469017005743,0.01035983783020349,0.0005455327924281201,0.0005455327924281201,4.511155112384493e-05,4.511155112384493e-05,0.9,kaonID
