,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
20,1.3,1.7000000000000002,0.225,0.5,0.9179439822385559,0.0034707935058382396,0.0034707935058382396,0.0001931970701468666,0.0001931970701468666,0.7396811649805481,0.002022028891377843,0.002022028891377843,0.001124322224862806,0.001124322224862806,0.8058020743016531,0.0017232806220748374,0.0017232806220748374,0.004300001304983425,0.004300001304983425,0.9,kaonID
21,1.3,1.7000000000000002,0.5,0.766,0.9409738502645164,0.003053443072329828,0.003053443072329828,1.1272755295554937e-05,1.1272755295554937e-05,0.7892376398376089,0.0018832892547468027,0.0018832892547468027,0.001195160384647731,0.001195160384647731,0.8387455609055947,0.0015979151392762237,0.0015979151392762237,0.004695661335534451,0.004695661335534451,0.9,kaonID
22,1.3,1.7000000000000002,0.766,0.8829,0.9840911166084836,0.005822833720215403,0.005822833720215403,7.354658105407363e-05,7.354658105407363e-05,0.6996828470226966,0.002999859393604252,0.002999859393604252,0.0012511883484542796,0.0012511883484542796,0.7109939671379661,0.0028012723715746327,0.0028012723715746327,0.005761609134523837,0.005761609134523837,0.9,kaonID
23,1.3,1.7000000000000002,0.8829,0.9563,1.2941404941241867,0.012465334014855984,0.012465334014855984,0.0006743528752675143,0.0006743528752675143,0.571989992449803,0.004597946846159828,0.004597946846159828,0.001026661765422654,0.001026661765422654,0.4419844638559887,0.004210860032079129,0.004210860032079129,0.003836123607026065,0.003836123607026065,0.9,kaonID
24,1.7000000000000002,2.1,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
25,1.7000000000000002,2.1,-0.682,-0.4226,0.9599116897117546,0.008061550825760646,0.008061550825760646,0.0007519970802694065,0.0007519970802694065,0.4096532868554624,0.002463499921251437,0.002463499921251437,0.0014747147601923971,0.0014747147601923971,0.42676143154218116,0.002291234195426025,0.002291234195426025,0.008708807096402926,0.008708807096402926,0.9,kaonID
26,1.7000000000000002,2.1,-0.4226,-0.1045,0.9681943324152307,0.0027056512178620816,0.0027056512178620816,1.9868057992811217e-05,1.9868057992811217e-05,0.8478404564431452,0.0017605958263732068,0.0017605958263732068,0.0009893584945008804,0.0009893584945008804,0.8756924390665931,0.0015188723846936,0.0015188723846936,0.00516367480351132,0.00516367480351132,0.9,kaonID
27,1.7000000000000002,2.1,-0.1045,0.225,0.9268574414585296,0.003236993554307475,0.003236993554307475,0.0001617935838059692,0.0001617935838059692,0.7666192903374861,0.0019607655251560074,0.0019607655251560074,0.000925248781360577,0.000925248781360577,0.8271167237230268,0.0016410314660048738,0.0016410314660048738,0.0041384617484753194,0.0041384617484753194,0.9,kaonID
28,1.7000000000000002,2.1,0.225,0.5,0.866425519686048,0.004067669785718201,0.004067669785718201,2.8359951150247475e-05,2.8359951150247475e-05,0.66287485455282,0.0021820553084152695,0.0021820553084152695,0.0007425151842622713,0.0007425151842622713,0.7650684790459713,0.0018281698138051961,0.0018281698138051961,0.004714707466755397,0.004714707466755397,0.9,kaonID
29,1.7000000000000002,2.1,0.5,0.766,0.9056305917589839,0.0033304881268159036,0.0033304881268159036,9.405289306863018e-05,9.405289306863018e-05,0.7356645875735854,0.001950881830655472,0.001950881830655472,0.0009703286544454627,0.0009703286544454627,0.8123230313418657,0.001636739766511486,0.001636739766511486,0.0038840518991687385,0.0038840518991687385,0.9,kaonID
30,1.7000000000000002,2.1,0.766,0.8829,0.9983416048356404,0.005514079913362143,0.005514079913362143,0.00013644573545990024,0.00013644573545990024,0.7097820670320051,0.002854254072356606,0.002854254072356606,0.0009330769419674256,0.0009330769419674256,0.7109611215179782,0.0026823253681441473,0.0026823253681441473,0.0006762193925179405,0.0006762193925179405,0.9,kaonID
31,1.7000000000000002,2.1,0.8829,0.9563,1.243710483043193,0.009574091370097678,0.009574091370097678,3.760487390880307e-05,3.760487390880307e-05,0.7011965413343771,0.004225573421383622,0.004225573421383622,0.0011653376066305121,0.0011653376066305121,0.5637940267405667,0.0041944057795341985,0.0041944057795341985,0.0014193258416466126,0.0014193258416466126,0.9,kaonID
32,2.1,2.5,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
33,2.1,2.5,-0.682,-0.4226,0.9895419279294025,0.008966995156490543,0.008966995156490543,0.00027263574708713545,0.00027263574708713545,0.3903981626341891,0.0025789018852072974,0.0025789018852072974,0.0018795395658828262,0.0018795395658828262,0.39452412436033885,0.0023923287136058896,0.0023923287136058896,0.00964350890213339,0.00964350890213339,0.9,kaonID
34,2.1,2.5,-0.4226,-0.1045,0.9465738182640012,0.0030199464805085834,0.0030199464805085834,8.698645314009212e-05,8.698645314009212e-05,0.8233230519464957,0.0019506349571615713,0.0019506349571615713,0.002001130695278741,0.002001130695278741,0.86979275790287,0.0016288282277054466,0.0016288282277054466,0.008452892028447678,0.008452892028447678,0.9,kaonID
35,2.1,2.5,-0.1045,0.225,0.8993257007332445,0.0038831664178041185,0.0038831664178041185,2.7697026865003416e-05,2.7697026865003416e-05,0.7051754563132209,0.002183517590384059,0.002183517590384059,0.0009503823386751709,0.0009503823386751709,0.7841157611066517,0.001837439459446736,0.001837439459446736,0.005544085386088415,0.005544085386088415,0.9,kaonID
36,2.1,2.5,0.225,0.5,0.8288938610867596,0.0052981906697320705,0.0052981906697320705,0.00010037139656893235,0.00010037139656893235,0.5477478583368666,0.0023338397682438165,0.0023338397682438165,0.0005804824467758873,0.0005804824467758873,0.6608178490050782,0.0020809441276731207,0.0020809441276731207,0.004119665641644676,0.004119665641644676,0.9,kaonID
37,2.1,2.5,0.5,0.766,0.8807034653419346,0.003754452454354279,0.003754452454354279,1.7154003739250356e-05,1.7154003739250356e-05,0.6762635268339597,0.0020277933566882705,0.0020277933566882705,0.0007304500889798726,0.0007304500889798726,0.7678674530608317,0.0017348976917856533,0.0017348976917856533,0.0035800923232212067,0.0035800923232212067,0.9,kaonID
38,2.1,2.5,0.766,0.8829,0.96276388032926,0.004895061629836525,0.004895061629836525,0.0001293990902202502,0.0001293990902202502,0.7332868925772743,0.002691748610043409,0.002691748610043409,0.0009388804333840817,0.0009388804333840817,0.7616476973840088,0.002466476430189055,0.002466476430189055,0.00514471938473815,0.00514471938473815,0.9,kaonID
